path,type,subtype,speaker,label,noise_path,noise_type,noise_subtype,snr
google_speech_commands_v1/three/8910e5ef_nohash_3.wav,reject,google_speech,8910e5ef,8,,,,
commands/1430746625/ita/eng_23.wav,command,telegram_bot,1430746625,0,,,,
commands/1630728501/ita/ita_17.wav,command,telegram_bot,1630728501,7,,,,
google_speech_commands_v1/tree/f3cee168_nohash_0.wav,reject,google_speech,f3cee168,8,,,,
google_speech_commands_v1/two/105e72bb_nohash_0.wav,reject,google_speech,105e72bb,8,,,,
google_speech_commands_v1/six/9cde5de8_nohash_0.wav,reject,google_speech,9cde5de8,8,,,,
commands/1224730345/ita/eng_23.wav,command,telegram_bot,1224730345,0,,,,
commands/2143985449/ita/eng_23.wav,command,telegram_bot,2143985449,0,,,,
google_speech_commands_v1/six/a8cf01bc_nohash_1.wav,reject,google_speech,a8cf01bc,8,,,,
commands/1237313710/ita/ita_8.wav,command,telegram_bot,1237313710,4,,,,
google_speech_commands_v1/zero/dca2797e_nohash_2.wav,reject,google_speech,dca2797e,8,,,,
commands/2055098585/ita/ita_7.wav,command,telegram_bot,2055098585,3,,,,
google_speech_commands_v1/six/f3cee168_nohash_1.wav,reject,google_speech,f3cee168,8,,,,
google_speech_commands_v1/zero/ab00c4b2_nohash_4.wav,reject,google_speech,ab00c4b2,8,,,,
google_speech_commands_v1/two/c6ee87a7_nohash_3.wav,reject,google_speech,c6ee87a7,8,,,,
google_speech_commands_v1/wow/1bc45db9_nohash_0.wav,reject,google_speech,1bc45db9,8,,,,
commands/133699592/ita/ita_9.wav,command,telegram_bot,133699592,5,,,,
google_speech_commands_v1/wow/f3cee168_nohash_0.wav,reject,google_speech,f3cee168,8,,,,
commands/1035156532/ita/ita_23.wav,command,telegram_bot,1035156532,0,,,,
commands/592391617/ita/ita_8.wav,command,telegram_bot,592391617,4,,,,
synthetics/polly/standard/ita/Bianca_9.wav,synthetic,polly_standard,Bianca,5,,,,
commands/436294034/ita/eng_23.wav,command,telegram_bot,436294034,0,,,,
google_speech_commands_v1/stop/c6ee87a7_nohash_2.wav,reject,google_speech,c6ee87a7,8,,,,
google_speech_commands_v1/three/a6d586b7_nohash_2.wav,reject,google_speech,a6d586b7,8,,,,
google_speech_commands_v1/up/cab100c9_nohash_0.wav,reject,google_speech,cab100c9,8,,,,
google_speech_commands_v1/three/e8e960fd_nohash_0.wav,reject,google_speech,e8e960fd,8,,,,
google_speech_commands_v1/wow/8523766b_nohash_0.wav,reject,google_speech,8523766b,8,,,,
commands/551316026/ita/ita_9.wav,command,telegram_bot,551316026,5,,,,
google_speech_commands_v1/up/ec74a8a5_nohash_0.wav,reject,google_speech,ec74a8a5,8,,,,
synthetics/google/standard/ita/IT_Wavenet_B_cmd20.wav,synthetic,google_standard,IT_Wavenet_B,1,,,,
commands/2127261933/ita/ita_23.wav,command,telegram_bot,2127261933,0,,,,
commands/1780966140/ita/ita_8.wav,command,telegram_bot,1780966140,4,,,,
google_speech_commands_v1/stop/9db2bfe9_nohash_3.wav,reject,google_speech,9db2bfe9,8,,,,
commands/322249374/ita/ita_7.wav,command,telegram_bot,322249374,3,,,,
commands/1323114146/ita/ita_23.wav,command,telegram_bot,1323114146,0,,,,
commands/1212263007/ita/ita_7.wav,command,telegram_bot,1212263007,3,,,,
google_speech_commands_v1/zero/ad63d93c_nohash_0.wav,reject,google_speech,ad63d93c,8,,,,
google_speech_commands_v1/stop/bdee441c_nohash_0.wav,reject,google_speech,bdee441c,8,,,,
commands/573888762/ita/ita_6.wav,command,telegram_bot,573888762,2,,,,
commands/1908497562/ita/ita_16.wav,command,telegram_bot,1908497562,6,,,,
google_speech_commands_v1/yes/41285056_nohash_1.wav,reject,google_speech,41285056,8,,,,
commands/1525639750/ita/ita_6.wav,command,telegram_bot,1525639750,2,,,,
commands/1284329670/ita/eng_23.wav,command,telegram_bot,1284329670,0,,,,
google_speech_commands_v1/up/44c201dd_nohash_0.wav,reject,google_speech,44c201dd,8,,,,
