,speaker_id,service,path,cmd_index
2500,673586351,real,/user/gdesimone/tesi_-magistrale/dataset/Dataset_real_conv/673586351/ita/ita_19.wav,19
1426,924061663,real,/user/gdesimone/tesi_-magistrale/dataset/Dataset_real_conv/924061663/ita/ita_4.wav,4
52,132762273,real,/user/gdesimone/tesi_-magistrale/dataset/Dataset_real_conv/132762273/ita/ita_25.wav,25
4536,63034be832b2ecc4a3b5373c125f255ae14c2f4b8ebff3283609cbac171ad4b8136177103c8a241a99ce7340e1dc5221dcddcdd7f3bd68b4cfe5c0d09198e21d,,/user/gdesimone/tesi_-magistrale/dataset/common_voices/out/train_id_7nw250i1/common_voice_it_22442410.wav,28
1011,347330299,real,/user/gdesimone/tesi_-magistrale/dataset/Dataset_real_conv/347330299/ita/ita_23.wav,23
599,1299468493,real,/user/gdesimone/tesi_-magistrale/dataset/Dataset_real_conv/1299468493/ita/ita_21.wav,21
3618,7176bedc1161cef3fd3a110df73273a400593d6405f2e42f50fd0141be1b6a6ceaf9865da72ba1a5bcb0f924431920e8b899fb5f304e29eeee68330b9b94f86a,,/user/gdesimone/tesi_-magistrale/dataset/common_voices/out/train_id_7nw250i1/common_voice_it_20283413.wav,28
3313,03d899998c259969a2c9d857f3c9cb80efcaba49e1deda5fca303d73166d92271aec02fc0fdc9a560f62656419ed7402c3f91a1c22bf772a4f08107e5f979612,,/user/gdesimone/tesi_-magistrale/dataset/common_voices/out/train_id_7nw250i1/common_voice_it_25259220.wav,28
2716,559248021,real,/user/gdesimone/tesi_-magistrale/dataset/Dataset_real_conv/559248021/ita/ita_11.wav,11
5056,2c1efd2d4a38a1d39fc3c2d32ecf4f3ce094a9c201cf34c69f4d7b470109ae50d8dede265b6171e8561688c4616b0f45d1f0e969c51c6f7c7c22056139ac6a55,,/user/gdesimone/tesi_-magistrale/dataset/common_voices/out/train_id_7nw250i1/common_voice_it_20019508.wav,28
550,322249374,real,/user/gdesimone/tesi_-magistrale/dataset/Dataset_real_conv/322249374/ita/ita_7.wav,7
5408,2ad61e2495933e08af9bd5fe5646b324eeb2f2adb94cad259b463c6ee9e79ce9cb4bfd03916dea5622877251b3381ba37976e3ce2d2ffd0a4d104eabd7621e78,,/user/gdesimone/tesi_-magistrale/dataset/common_voices/out/train_id_7nw250i1/common_voice_it_21343796.wav,28
2873,5097115863,real,/user/gdesimone/tesi_-magistrale/dataset/Dataset_real_conv/5097115863/ita/ita_3.wav,3
