path,type,subtype,speaker,label,noise_path,noise_type,noise_subtype,snr
rejects/ita/five_cb2929ce_nohash_1.wav,reject,google_speech,cb2929ce,6,,,,
rejects/ita/stop_f06190c1_nohash_0.wav,reject,google_speech,f06190c1,6,,,,
commands/2045192328/ita/ita_15.wav,reject,telegram_bot,2045192328,6,,,,
rejects/ita/common_voice_it_20148541.wav,reject,mozilla_common_voice,20148541,6,,,,
commands/395387919/ita/ita_28.wav,reject,telegram_bot,395387919,6,,,,
rejects/ita/common_voice_it_22940489.wav,reject,mozilla_common_voice,22940489,6,,,,
commands/604202480/ita/ita_12.wav,reject,telegram_bot,604202480,6,,,,
rejects/ita/seven_3a70ab7f_nohash_1.wav,reject,google_speech,3a70ab7f,6,,,,
rejects/ita/common_voice_it_23729398.wav,reject,mozilla_common_voice,23729398,6,,,,
commands/296821092/ita/ita_6.wav,command,telegram_bot,296821092,2,,,,
rejects/ita/off_9a43b64b_nohash_0.wav,reject,google_speech,9a43b64b,6,,,,
rejects/ita/bird_91cdef62_nohash_1.wav,reject,google_speech,91cdef62,6,,,,
rejects/ita/common_voice_it_18474775.wav,reject,mozilla_common_voice,18474775,6,,,,
rejects/ita/common_voice_it_20066573.wav,reject,mozilla_common_voice,20066573,6,,,,
rejects/ita/zero_c634a189_nohash_0.wav,reject,google_speech,c634a189,6,,,,
commands/690728394/ita/ita_10.wav,reject,telegram_bot,690728394,6,,,,
synthetics/naturalreaders/neural/ita/chiara_it_3.wav,reject,naturalreaders_neural,chiara,6,,,,
rejects/ita/bed_a331d9cb_nohash_2.wav,reject,google_speech,a331d9cb,6,,,,
synthetics/google/neural/ita/IT_Standard_B_cmd27.wav,reject,google_neural,IT_Standard_B,6,,,,
rejects/ita/common_voice_it_19993653.wav,reject,mozilla_common_voice,19993653,6,,,,
commands/2144719944/ita/ita_2.wav,reject,telegram_bot,2144719944,6,,,,
commands/190682718/ita/ita_17.wav,command,telegram_bot,190682718,5,,,,
commands/2055098585/ita/ita_13.wav,reject,telegram_bot,2055098585,6,,,,
rejects/ita/bird_b5935410_nohash_1.wav,reject,google_speech,b5935410,6,,,,
rejects/ita/common_voice_it_25599591.wav,reject,mozilla_common_voice,25599591,6,,,,
rejects/ita/tree_a759efbc_nohash_0.wav,reject,google_speech,a759efbc,6,,,,
rejects/ita/off_173ce2be_nohash_0.wav,reject,google_speech,173ce2be,6,,,,
rejects/ita/common_voice_it_23749495.wav,reject,mozilla_common_voice,23749495,6,,,,
rejects/ita/cat_f44f440f_nohash_0.wav,reject,google_speech,f44f440f,6,,,,
rejects/ita/down_a243fcc2_nohash_1.wav,reject,google_speech,a243fcc2,6,,,,
rejects/ita/zero_62581901_nohash_2.wav,reject,google_speech,62581901,6,,,,
rejects/ita/yes_5f814c23_nohash_2.wav,reject,google_speech,5f814c23,6,,,,
synthetics/naturalreaders/neural/ita/vittorio_it_26.wav,reject,naturalreaders_neural,vittorio,6,,,,
rejects/ita/common_voice_it_19987561.wav,reject,mozilla_common_voice,19987561,6,,,,
rejects/ita/seven_eb3d8eb1_nohash_0.wav,reject,google_speech,eb3d8eb1,6,,,,
rejects/ita/common_voice_it_20253386.wav,reject,mozilla_common_voice,20253386,6,,,,
commands/208525704/ita/eng_23.wav,command,telegram_bot,208525704,0,,,,
synthetics/naturalreaders/neural/ita/vittorio_it_24.wav,reject,naturalreaders_neural,vittorio,6,,,,
