path,type,subtype,speaker,command,noise_path,noise_type,noise_subtype,snr
commands/377577537/ita/ita_23.wav,command,telegram_bot,377577537,23,,,,
rejects/ita/clips/bed_36746d7f_nohash_0.wav,reject,google_speech,bed,31,,,,
rejects/ita/clips/common_voice_it_17541300.wav,reject,mozilla_common_voice,common,31,,,,
rejects/ita/clips/common_voice_it_20271513.wav,reject,mozilla_common_voice,common,31,,,,
rejects/ita/clips/nine_7081436f_nohash_1.wav,reject,google_speech,nine,31,,,,
rejects/ita/clips/common_voice_it_19991666.wav,reject,mozilla_common_voice,common,31,,,,
commands/121876938/ita/ita_12.wav,command,telegram_bot,121876938,12,,,,
rejects/ita/clips/four_6d818f6c_nohash_0.wav,reject,google_speech,four,31,,,,
synthetics/google/standard/ita/IT_Wavenet_A_cmd15.wav,synthetic,google_standard,IT_Wavenet_A,15,,,,
rejects/ita/clips/nine_d33df435_nohash_0.wav,reject,google_speech,nine,31,,,,
rejects/ita/clips/common_voice_it_19677677.wav,reject,mozilla_common_voice,common,31,,,,
rejects/ita/clips/common_voice_it_20706606.wav,reject,mozilla_common_voice,common,31,,,,
rejects/ita/clips/five_73dda36a_nohash_3.wav,reject,google_speech,five,31,,,,
rejects/ita/clips/house_dca6b373_nohash_0.wav,reject,google_speech,house,31,,,,
commands/296821092/ita/ita_30.wav,command,telegram_bot,296821092,30,,,,
commands/362625280/ita/ita_28.wav,command,telegram_bot,362625280,28,,,,
rejects/ita/clips/five_6fca237d_nohash_1.wav,reject,google_speech,five,31,,,,
rejects/ita/clips/common_voice_it_21073460.wav,reject,mozilla_common_voice,common,31,,,,
rejects/ita/clips/no_6982fc2a_nohash_1.wav,reject,google_speech,no,31,,,,
commands/388942547/ita/ita_18.wav,command,telegram_bot,388942547,18,,,,
rejects/ita/clips/common_voice_it_21254378.wav,reject,mozilla_common_voice,common,31,,,,
rejects/ita/clips/common_voice_it_19997629.wav,reject,mozilla_common_voice,common,31,,,,
commands/1520141330/ita/ita_29.wav,command,telegram_bot,1520141330,29,,,,
rejects/ita/clips/common_voice_it_25129767.wav,reject,mozilla_common_voice,common,31,,,,
commands/466977274/ita/ita_8.wav,command,telegram_bot,466977274,8,,,,
rejects/ita/clips/off_cb2929ce_nohash_7.wav,reject,google_speech,off,31,,,,
rejects/ita/clips/common_voice_it_23514447.wav,reject,mozilla_common_voice,common,31,,,,
rejects/ita/clips/nine_ccea893d_nohash_0.wav,reject,google_speech,nine,31,,,,
rejects/ita/clips/common_voice_it_23882794.wav,reject,mozilla_common_voice,common,31,,,,
rejects/ita/clips/five_e2362167_nohash_0.wav,reject,google_speech,five,31,,,,
commands/2058616/ita/ita_26.wav,command,telegram_bot,2058616,26,,,,
rejects/ita/clips/common_voice_it_26219964.wav,reject,mozilla_common_voice,common,31,,,,
rejects/ita/clips/common_voice_it_19568209.wav,reject,mozilla_common_voice,common,31,,,,
rejects/ita/clips/common_voice_it_20035683.wav,reject,mozilla_common_voice,common,31,,,,
rejects/ita/clips/common_voice_it_19468324.wav,reject,mozilla_common_voice,common,31,,,,
rejects/ita/clips/marvin_27b9a84f_nohash_1.wav,reject,google_speech,marvin,31,,,,
rejects/ita/clips/common_voice_it_25584040.wav,reject,mozilla_common_voice,common,31,,,,
rejects/ita/clips/common_voice_it_26542326.wav,reject,mozilla_common_voice,common,31,,,,
rejects/ita/clips/common_voice_it_25826241.wav,reject,mozilla_common_voice,common,31,,,,
rejects/ita/clips/common_voice_it_23821070.wav,reject,mozilla_common_voice,common,31,,,,
rejects/ita/clips/common_voice_it_20011003.wav,reject,mozilla_common_voice,common,31,,,,
commands/1770776685/ita/ita_0.wav,command,telegram_bot,1770776685,0,,,,
commands/573888762/ita/ita_22.wav,command,telegram_bot,573888762,22,,,,
rejects/ita/clips/common_voice_it_25527967.wav,reject,mozilla_common_voice,common,31,,,,
rejects/ita/clips/bed_2dcb6848_nohash_1.wav,reject,google_speech,bed,31,,,,
commands/1230421796/ita/ita_15.wav,command,telegram_bot,1230421796,15,,,,
commands/2144627614/ita/ita_11.wav,command,telegram_bot,2144627614,11,,,,
rejects/ita/clips/bird_cd68e997_nohash_0.wav,reject,google_speech,bird,31,,,,
rejects/ita/clips/marvin_4a4e28f1_nohash_0.wav,reject,google_speech,marvin,31,,,,
commands/2112819853/ita/ita_28.wav,command,telegram_bot,2112819853,28,,,,
rejects/ita/clips/nine_c86d4fd4_nohash_0.wav,reject,google_speech,nine,31,,,,
rejects/ita/clips/house_a4c938ce_nohash_0.wav,reject,google_speech,house,31,,,,
rejects/ita/clips/common_voice_it_20014156.wav,reject,mozilla_common_voice,common,31,,,,
synthetics/vocalware/neural/ita/engine2_voice2_cmd16.wav,synthetic,vocalware_neural,engine2,16,,,,
rejects/ita/clips/common_voice_it_21697736.wav,reject,mozilla_common_voice,common,31,,,,
rejects/ita/clips/common_voice_it_22910707.wav,reject,mozilla_common_voice,common,31,,,,
rejects/ita/clips/four_b8c48ffb_nohash_0.wav,reject,google_speech,four,31,,,,
rejects/ita/clips/common_voice_it_19459546.wav,reject,mozilla_common_voice,common,31,,,,
commands/1145359176/ita/ita_15.wav,command,telegram_bot,1145359176,15,,,,
rejects/ita/clips/common_voice_it_18108281.wav,reject,mozilla_common_voice,common,31,,,,
synthetics/vocalware/neural/ita/engine2_voice10_cmd19.wav,synthetic,vocalware_neural,engine2,19,,,,
commands/1086043658/ita/ita_6.wav,command,telegram_bot,1086043658,6,,,,
rejects/ita/clips/common_voice_it_23987568.wav,reject,mozilla_common_voice,common,31,,,,
rejects/ita/clips/common_voice_it_24958135.wav,reject,mozilla_common_voice,common,31,,,,
commands/134001349/ita/ita_27.wav,command,telegram_bot,134001349,27,,,,
synthetics/vocalware/neural/ita/engine2_voice7_cmd17.wav,synthetic,vocalware_neural,engine2,17,,,,
rejects/ita/clips/common_voice_it_26737459.wav,reject,mozilla_common_voice,common,31,,,,
commands/409714222/ita/ita_0.wav,command,telegram_bot,409714222,0,,,,
synthetics/google/standard/ita/IT_Wavenet_B_cmd25.wav,synthetic,google_standard,IT_Wavenet_B,25,,,,
rejects/ita/clips/common_voice_it_19985496.wav,reject,mozilla_common_voice,common,31,,,,
synthetics/google/neural/ita/IT_Standard_A_cmd10.wav,synthetic,google_neural,IT_Standard_A,10,,,,
rejects/ita/clips/common_voice_it_20815087.wav,reject,mozilla_common_voice,common,31,,,,
rejects/ita/clips/house_8a28231e_nohash_0.wav,reject,google_speech,house,31,,,,
rejects/ita/clips/common_voice_it_20010608.wav,reject,mozilla_common_voice,common,31,,,,
rejects/ita/clips/house_919d3c0e_nohash_0.wav,reject,google_speech,house,31,,,,
commands/30368201/ita/ita_29.wav,command,telegram_bot,30368201,29,,,,
commands/507870188/ita/ita_13.wav,command,telegram_bot,507870188,13,,,,
rejects/ita/clips/common_voice_it_25499504.wav,reject,mozilla_common_voice,common,31,,,,
rejects/ita/clips/no_fbf3dd31_nohash_3.wav,reject,google_speech,no,31,,,,
rejects/ita/clips/common_voice_it_20384868.wav,reject,mozilla_common_voice,common,31,,,,
rejects/ita/clips/bed_6205088b_nohash_2.wav,reject,google_speech,bed,31,,,,
commands/2114791016/ita/ita_21.wav,command,telegram_bot,2114791016,21,,,,
commands/1936687856/ita/ita_26.wav,command,telegram_bot,1936687856,26,,,,
rejects/ita/clips/common_voice_it_23871683.wav,reject,mozilla_common_voice,common,31,,,,
commands/362625280/ita/ita_22.wav,command,telegram_bot,362625280,22,,,,
rejects/ita/clips/common_voice_it_22353220.wav,reject,mozilla_common_voice,common,31,,,,
rejects/ita/clips/common_voice_it_23998685.wav,reject,mozilla_common_voice,common,31,,,,
rejects/ita/clips/common_voice_it_19421657.wav,reject,mozilla_common_voice,common,31,,,,
commands/1202998179/ita/ita_21.wav,command,telegram_bot,1202998179,21,,,,
rejects/ita/clips/common_voice_it_26556196.wav,reject,mozilla_common_voice,common,31,,,,
rejects/ita/clips/dog_81a345a3_nohash_0.wav,reject,google_speech,dog,31,,,,
rejects/ita/clips/common_voice_it_17542863.wav,reject,mozilla_common_voice,common,31,,,,
rejects/ita/clips/common_voice_it_21288769.wav,reject,mozilla_common_voice,common,31,,,,
rejects/ita/clips/common_voice_it_25792948.wav,reject,mozilla_common_voice,common,31,,,,
commands/282273095/ita/ita_12.wav,command,telegram_bot,282273095,12,,,,
rejects/ita/clips/common_voice_it_25964719.wav,reject,mozilla_common_voice,common,31,,,,
rejects/ita/clips/left_23059a35_nohash_0.wav,reject,google_speech,left,31,,,,
rejects/ita/clips/common_voice_it_20038772.wav,reject,mozilla_common_voice,common,31,,,,
commands/2112819853/ita/ita_5.wav,command,telegram_bot,2112819853,5,,,,
rejects/ita/clips/bird_d7559b2d_nohash_0.wav,reject,google_speech,bird,31,,,,
rejects/ita/clips/left_0d393936_nohash_2.wav,reject,google_speech,left,31,,,,
commands/1863268171/ita/ita_12.wav,command,telegram_bot,1863268171,12,,,,
commands/184960439/ita/ita_2.wav,command,telegram_bot,184960439,2,,,,
commands/190682718/ita/ita_5.wav,command,telegram_bot,190682718,5,,,,
rejects/ita/clips/common_voice_it_26605513.wav,reject,mozilla_common_voice,common,31,,,,
rejects/ita/clips/common_voice_it_24821702.wav,reject,mozilla_common_voice,common,31,,,,
rejects/ita/clips/off_69086eb0_nohash_0.wav,reject,google_speech,off,31,,,,
rejects/ita/clips/five_5a9f7324_nohash_0.wav,reject,google_speech,five,31,,,,
rejects/ita/clips/off_d0426d63_nohash_1.wav,reject,google_speech,off,31,,,,
commands/133699592/ita/ita_28.wav,command,telegram_bot,133699592,28,,,,
commands/366052369/ita/ita_9.wav,command,telegram_bot,366052369,9,,,,
rejects/ita/clips/happy_ccea893d_nohash_0.wav,reject,google_speech,happy,31,,,,
rejects/ita/clips/common_voice_it_17416181.wav,reject,mozilla_common_voice,common,31,,,,
rejects/ita/clips/common_voice_it_19468169.wav,reject,mozilla_common_voice,common,31,,,,
commands/202738934/ita/ita_12.wav,command,telegram_bot,202738934,12,,,,
synthetics/vocalware/neural/ita/engine2_voice2_cmd9.wav,synthetic,vocalware_neural,engine2,9,,,,
rejects/ita/clips/common_voice_it_18219654.wav,reject,mozilla_common_voice,common,31,,,,
