path,type,subtype,speaker,label
google_speech_commands_v1/one/daf230ac_nohash_0.wav,reject,google_speech,daf230ac,31
google_speech_commands_v1/bed/c099668c_nohash_3.wav,reject,google_speech,c099668c,31
google_speech_commands_v1/two/d0faf7e4_nohash_1.wav,reject,google_speech,d0faf7e4,31
google_speech_commands_v1/no/3ff840aa_nohash_0.wav,reject,google_speech,3ff840aa,31
synthetics/google/neural/eng/US_Standard_F_cmd15.wav,synthetic,google_neural,US_Standard_F,15
google_speech_commands_v1/go/a7dd45cf_nohash_0.wav,reject,google_speech,a7dd45cf,31
synthetics/google/standard/eng/AU_Wavenet_B_cmd26.wav,synthetic,google_standard,AU_Wavenet_B,26
synthetics/nemo/neural/eng/fastpitch_hifigan_cmd20.wav,synthetic,nemo_neural,fastpitch_hifigan,20
google_speech_commands_v1/two/dd086776_nohash_0.wav,reject,google_speech,dd086776,31
synthetics/google/standard/eng/US_Wavenet_E_cmd29.wav,synthetic,google_standard,US_Wavenet_E,29
google_speech_commands_v1/three/c6ee87a7_nohash_0.wav,reject,google_speech,c6ee87a7,31
google_speech_commands_v1/three/a2473d62_nohash_0.wav,reject,google_speech,a2473d62,31
google_speech_commands_v1/two/e71b4ce6_nohash_1.wav,reject,google_speech,e71b4ce6,31
commands/366052369/eng/eng_26.wav,command,telegram_bot,366052369,26
google_speech_commands_v1/stop/f5496439_nohash_0.wav,reject,google_speech,f5496439,31
google_speech_commands_v1/one/7add4c5f_nohash_0.wav,reject,google_speech,7add4c5f,31
google_speech_commands_v1/one/782c1305_nohash_1.wav,reject,google_speech,782c1305,31
google_speech_commands_v1/go/cab100c9_nohash_0.wav,reject,google_speech,cab100c9,31
google_speech_commands_v1/up/3ff840aa_nohash_0.wav,reject,google_speech,3ff840aa,31
google_speech_commands_v1/left/f17be97f_nohash_0.wav,reject,google_speech,f17be97f,31
synthetics/polly/standard/eng/Ivy_5.wav,synthetic,polly_standard,Ivy,5
google_speech_commands_v1/eight/d197e3ae_nohash_1.wav,reject,google_speech,d197e3ae,31
google_speech_commands_v1/eight/3f2b358d_nohash_2.wav,reject,google_speech,3f2b358d,31
google_speech_commands_v1/dog/dd086776_nohash_1.wav,reject,google_speech,dd086776,31
synthetics/azure/neural/eng/AnaNeural_25.wav,synthetic,azure_neural,AnaNeural,25
google_speech_commands_v1/two/48bfde8e_nohash_0.wav,reject,google_speech,48bfde8e,31
commands/630722423/eng/eng_1.wav,command,telegram_bot,630722423,1
synthetics/vocalware/neural/eng/engine2_voice3_cmd25.wav,synthetic,vocalware_neural,engine2,25
google_speech_commands_v1/on/37dca74f_nohash_2.wav,reject,google_speech,37dca74f,31
synthetics/azure/neural/eng/PrabhatNeural_18.wav,synthetic,azure_neural,PrabhatNeural,18
synthetics/azure/neural/eng/LunaNeural_8.wav,synthetic,azure_neural,LunaNeural,8
commands/867055321/eng/eng_28.wav,command,telegram_bot,867055321,28
synthetics/google/standard/eng/GB_Neural2_A_cmd26.wav,synthetic,google_standard,GB_Neural2_A,26
google_speech_commands_v1/marvin/3e2ba5f7_nohash_0.wav,reject,google_speech,3e2ba5f7,31
synthetics/google/neural/eng/IN_Standard_D_cmd1.wav,synthetic,google_neural,IN_Standard_D,1
google_speech_commands_v1/eight/9d32f10a_nohash_1.wav,reject,google_speech,9d32f10a,31
google_speech_commands_v1/go/fc94edb0_nohash_0.wav,reject,google_speech,fc94edb0,31
google_speech_commands_v1/seven/bdee441c_nohash_0.wav,reject,google_speech,bdee441c,31
synthetics/google/standard/eng/IN_Wavenet_B_cmd22.wav,synthetic,google_standard,IN_Wavenet_B,22
synthetics/azure/neural/eng/AriaNeural_17.wav,synthetic,azure_neural,AriaNeural,17
synthetics/azure/neural/eng/BrandonNeural_25.wav,synthetic,azure_neural,BrandonNeural,25
synthetics/vocalware/neural/eng/engine3_voice1_cmd3.wav,synthetic,vocalware_neural,engine3,3
synthetics/polly/neural/eng/Olivia_3.wav,synthetic,polly_neural,Olivia,3
commands/2123568595/eng/eng_21.wav,command,telegram_bot,2123568595,21
google_speech_commands_v1/four/1b4c9b89_nohash_1.wav,reject,google_speech,1b4c9b89,31
