path,type,subtype,speaker,intent,explicit,implicit
commands/6127040556/eng/3_4_0.wav,command,telegram,6127040556,1,4,1
commands/6127040556/eng/5_5_2.wav,command,telegram,6127040556,3,13,1
commands/6127040556/eng/2_0_1.wav,command,telegram,6127040556,0,0,0
commands/6127040556/eng/11_3_3.wav,command,telegram,6127040556,9,35,1
commands/6127040556/eng/4_0_0.wav,command,telegram,6127040556,2,8,0
commands/6127040556/eng/8_0_1.wav,command,telegram,6127040556,6,24,0
commands/6127040556/eng/13_3_0.wav,command,telegram,6127040556,11,39,1
commands/6127040556/eng/5_6_0.wav,command,telegram,6127040556,3,14,1
commands/6127040556/eng/2_1_1.wav,command,telegram,6127040556,0,1,0
commands/6127040556/eng/9_4_1.wav,command,telegram,6127040556,7,28,1
commands/6127040556/eng/5_5_1.wav,command,telegram,6127040556,3,13,1
commands/6127040556/eng/4_0_1.wav,command,telegram,6127040556,2,8,0
commands/6127040556/eng/4_1_0.wav,command,telegram,6127040556,2,9,0
commands/6127040556/eng/13_0_0.wav,command,telegram,6127040556,11,36,1
commands/6127040556/eng/8_0_0.wav,command,telegram,6127040556,6,24,0
commands/6127040556/eng/2_0_0.wav,command,telegram,6127040556,0,0,0
commands/6127040556/eng/8_1_1.wav,command,telegram,6127040556,6,25,0
commands/6127040556/eng/10_0_1.wav,command,telegram,6127040556,8,32,0
commands/6127040556/eng/6_0_0.wav,command,telegram,6127040556,4,16,0
commands/6127040556/eng/8_1_0.wav,command,telegram,6127040556,6,25,0
commands/6127040556/eng/6_1_0.wav,command,telegram,6127040556,4,17,0
commands/6127040556/eng/9_5_0.wav,command,telegram,6127040556,7,29,1
commands/6127040556/eng/10_0_2.wav,command,telegram,6127040556,8,32,0
commands/6127040556/eng/10_0_3.wav,command,telegram,6127040556,8,32,0
commands/6127040556/eng/9_6_0.wav,command,telegram,6127040556,7,30,1
commands/6127040556/eng/11_3_2.wav,command,telegram,6127040556,9,35,1
commands/6127040556/eng/2_1_0.wav,command,telegram,6127040556,0,1,0
commands/6127040556/eng/3_1_0.wav,command,telegram,6127040556,1,1,1
commands/6127040556/eng/13_5_1.wav,command,telegram,6127040556,11,41,1
commands/6127040556/eng/12_0_1.wav,command,telegram,6127040556,10,36,0
commands/6127040556/eng/12_1_1.wav,command,telegram,6127040556,10,37,0
commands/6127040556/eng/7_6_0.wav,command,telegram,6127040556,5,22,1
commands/6127040556/eng/11_3_1.wav,command,telegram,6127040556,9,35,1
commands/6127040556/eng/6_0_1.wav,command,telegram,6127040556,4,16,0
commands/6127040556/eng/4_0_2.wav,command,telegram,6127040556,2,8,0
commands/6127040556/eng/6_1_1.wav,command,telegram,6127040556,4,17,0
commands/6127040556/eng/7_2_0.wav,command,telegram,6127040556,5,18,1
commands/6127040556/eng/5_5_0.wav,command,telegram,6127040556,3,13,1
commands/6127040556/eng/12_0_0.wav,command,telegram,6127040556,10,36,0
commands/6127040556/eng/3_5_0.wav,command,telegram,6127040556,1,5,1
commands/6127040556/eng/7_1_0.wav,command,telegram,6127040556,5,17,1
commands/6127040556/eng/12_1_0.wav,command,telegram,6127040556,10,37,0
commands/6127040556/eng/9_4_0.wav,command,telegram,6127040556,7,28,1
commands/6127040556/eng/10_0_0.wav,command,telegram,6127040556,8,32,0
commands/6127040556/eng/13_5_0.wav,command,telegram,6127040556,11,41,1
commands/6127040556/eng/7_1_1.wav,command,telegram,6127040556,5,17,1
commands/6127040556/eng/3_2_0.wav,command,telegram,6127040556,1,2,1
commands/6127040556/eng/11_3_0.wav,command,telegram,6127040556,9,35,1
commands/6269772923/eng/3_4_0.wav,command,telegram,6269772923,1,4,1
commands/6269772923/eng/11_0_1.wav,command,telegram,6269772923,9,32,1
commands/6269772923/eng/4_0_0.wav,command,telegram,6269772923,2,8,0
commands/6269772923/eng/13_3_0.wav,command,telegram,6269772923,11,39,1
commands/6269772923/eng/2_1_2.wav,command,telegram,6269772923,0,1,0
commands/6269772923/eng/5_6_0.wav,command,telegram,6269772923,3,14,1
commands/6269772923/eng/9_1_1.wav,command,telegram,6269772923,7,25,1
commands/6269772923/eng/13_2_1.wav,command,telegram,6269772923,11,38,1
commands/6269772923/eng/2_1_1.wav,command,telegram,6269772923,0,1,0
commands/6269772923/eng/5_0_0.wav,command,telegram,6269772923,3,8,1
commands/6269772923/eng/4_0_1.wav,command,telegram,6269772923,2,8,0
commands/6269772923/eng/4_1_0.wav,command,telegram,6269772923,2,9,0
commands/6269772923/eng/2_0_0.wav,command,telegram,6269772923,0,0,0
commands/6269772923/eng/8_1_1.wav,command,telegram,6269772923,6,25,0
commands/6269772923/eng/10_0_1.wav,command,telegram,6269772923,8,32,0
commands/6269772923/eng/6_0_0.wav,command,telegram,6269772923,4,16,0
commands/6269772923/eng/8_1_0.wav,command,telegram,6269772923,6,25,0
commands/6269772923/eng/6_1_0.wav,command,telegram,6269772923,4,17,0
commands/6269772923/eng/11_1_0.wav,command,telegram,6269772923,9,33,1
commands/6269772923/eng/10_0_2.wav,command,telegram,6269772923,8,32,0
commands/6269772923/eng/10_0_3.wav,command,telegram,6269772923,8,32,0
commands/6269772923/eng/11_0_0.wav,command,telegram,6269772923,9,32,1
commands/6269772923/eng/9_6_0.wav,command,telegram,6269772923,7,30,1
commands/6269772923/eng/2_1_0.wav,command,telegram,6269772923,0,1,0
commands/6269772923/eng/6_0_2.wav,command,telegram,6269772923,4,16,0
commands/6269772923/eng/12_1_1.wav,command,telegram,6269772923,10,37,0
commands/6269772923/eng/7_6_0.wav,command,telegram,6269772923,5,22,1
commands/6269772923/eng/13_6_0.wav,command,telegram,6269772923,11,42,1
commands/6269772923/eng/3_4_1.wav,command,telegram,6269772923,1,4,1
commands/6269772923/eng/6_0_1.wav,command,telegram,6269772923,4,16,0
commands/6269772923/eng/4_0_2.wav,command,telegram,6269772923,2,8,0
commands/6269772923/eng/5_6_1.wav,command,telegram,6269772923,3,14,1
commands/6269772923/eng/5_5_0.wav,command,telegram,6269772923,3,13,1
commands/6269772923/eng/11_0_2.wav,command,telegram,6269772923,9,32,1
commands/6269772923/eng/9_3_0.wav,command,telegram,6269772923,7,27,1
commands/6269772923/eng/12_1_2.wav,command,telegram,6269772923,10,37,0
commands/6269772923/eng/7_6_1.wav,command,telegram,6269772923,5,22,1
commands/6269772923/eng/13_2_0.wav,command,telegram,6269772923,11,38,1
commands/6269772923/eng/7_1_0.wav,command,telegram,6269772923,5,17,1
commands/6269772923/eng/12_1_0.wav,command,telegram,6269772923,10,37,0
commands/6269772923/eng/8_1_3.wav,command,telegram,6269772923,6,25,0
commands/6269772923/eng/3_7_0.wav,command,telegram,6269772923,1,7,1
commands/6269772923/eng/10_0_0.wav,command,telegram,6269772923,8,32,0
commands/6269772923/eng/7_1_1.wav,command,telegram,6269772923,5,17,1
commands/6269772923/eng/3_2_0.wav,command,telegram,6269772923,1,2,1
commands/6269772923/eng/8_1_2.wav,command,telegram,6269772923,6,25,0
commands/6269772923/eng/9_1_0.wav,command,telegram,6269772923,7,25,1
commands/5262943751/eng/7_0_0.wav,command,telegram,5262943751,5,16,1
commands/5262943751/eng/5_7_0.wav,command,telegram,5262943751,3,15,1
commands/5262943751/eng/11_0_0.wav,command,telegram,5262943751,9,32,1
commands/140346462/eng/3_4_0.wav,command,telegram,140346462,1,4,1
commands/140346462/eng/13_7_0.wav,command,telegram,140346462,11,43,1
commands/140346462/eng/2_0_1.wav,command,telegram,140346462,0,0,0
commands/140346462/eng/4_0_0.wav,command,telegram,140346462,2,8,0
commands/140346462/eng/5_6_0.wav,command,telegram,140346462,3,14,1
commands/140346462/eng/2_1_1.wav,command,telegram,140346462,0,1,0
