	client_id	path	sentence	up_votes	age	gender	accent	locale	segment
0	1005594640	1005594640_ita_5.wav						ita	
1	2114791016	2114791016_ita_29.wav						ita	
2	common	common_voice_it_20043941.wav						ita	
3	common	common_voice_it_19584634.wav						ita	
4	366052369	366052369_ita_26.wav						ita	
5	common	common_voice_it_25585930.wav						ita	
6	2112819853	2112819853_ita_0.wav						ita	
7	198584602	198584602_ita_17.wav						ita	
8	551316026	551316026_ita_6.wav						ita	
9	common	common_voice_it_18187536.wav						ita	
10	1095491263	1095491263_ita_9.wav						ita	
11	927800987	927800987_ita_5.wav						ita	
12	2104392071	2104392071_ita_19.wav						ita	
13	1385338327	1385338327_ita_7.wav						ita	
14	370932516	370932516_ita_31.wav						ita	
15	common	common_voice_it_21873983.wav						ita	
16	279763508	279763508_ita_4.wav						ita	
17	common	common_voice_it_21215190.wav						ita	
18	269423705	269423705_ita_17.wav						ita	
19	common	common_voice_it_17544041.wav						ita	
20	2146007936	2146007936_ita_16.wav						ita	
21	432184911	432184911_ita_10.wav						ita	
22	592391617	592391617_ita_22.wav						ita	
23	1035156532	1035156532_ita_23.wav						ita	
24	222556755	222556755_ita_24.wav						ita	
25	769426504	769426504_ita_1.wav						ita	
26	697081431	697081431_ita_22.wav						ita	
27	1883652161	1883652161_ita_4.wav						ita	
28	891999531	891999531_ita_6.wav						ita	
29	1323114146	1323114146_ita_6.wav						ita	
30	common	common_voice_it_20411162.wav						ita	
31	323966352	323966352_ita_9.wav						ita	
32	1544136214	1544136214_ita_9.wav						ita	
33	common	common_voice_it_17423687.wav						ita	
34	2131190666	2131190666_ita_18.wav						ita	
35	common	common_voice_it_23987448.wav						ita	
36	1784612953	1784612953_ita_6.wav						ita	
37	common	common_voice_it_26523693.wav						ita	
38	198584602	198584602_ita_24.wav						ita	
39	208525704	208525704_ita_32.wav						ita	
40	924061663	924061663_ita_13.wav						ita	
41	1936687856	1936687856_ita_6.wav						ita	
42	238808563	238808563_ita_1.wav						ita	
43	common	common_voice_it_19796924.wav						ita	
44	2058616	2058616_ita_22.wav						ita	
45	1132842894	1132842894_ita_24.wav						ita	
46	common	common_voice_it_25612600.wav						ita	
47	common	common_voice_it_23923504.wav						ita	
48	914604355	914604355_ita_0.wav						ita	
49	common	common_voice_it_26972776.wav						ita	
50	2143985449	2143985449_ita_7.wav						ita	
51	432184911	432184911_ita_25.wav						ita	
52	132762273	132762273_ita_24.wav						ita	
53	common	common_voice_it_22065265.wav						ita	
54	common	common_voice_it_19044383.wav						ita	
55	1908497562	1908497562_ita_8.wav						ita	
56	1323114146	1323114146_ita_24.wav						ita	
57	1224730345	1224730345_ita_21.wav						ita	
58	279297158	279297158_ita_9.wav						ita	
59	224710733	224710733_ita_7.wav						ita	
60	443061286	443061286_ita_15.wav						ita	
61	1544136214	1544136214_ita_18.wav						ita	
62	432184911	432184911_ita_8.wav						ita	
63	914604355	914604355_ita_17.wav						ita	
64	719438104	719438104_ita_20.wav						ita	
65	common	common_voice_it_20046992.wav						ita	
66	1005594640	1005594640_ita_32.wav						ita	
67	298552117	298552117_ita_8.wav						ita	
68	common	common_voice_it_18281188.wav						ita	
69	247786014	247786014_ita_14.wav						ita	
70	802314253	802314253_ita_14.wav						ita	
71	common	common_voice_it_24569654.wav						ita	
72	2131190666	2131190666_ita_1.wav						ita	
73	604202480	604202480_ita_16.wav						ita	
74	29503691	29503691_ita_21.wav						ita	
75	1069744512	1069744512_ita_20.wav						ita	
76	630722423	630722423_ita_16.wav						ita	
77	common	common_voice_it_25633921.wav						ita	
78	2131190666	2131190666_ita_12.wav						ita	
79	802314253	802314253_ita_23.wav						ita	
80	2115610208	2115610208_ita_8.wav						ita	
81	common	common_voice_it_25969517.wav						ita	
82	409714222	409714222_ita_15.wav						ita	
83	common	common_voice_it_25625001.wav						ita	
84	common	common_voice_it_20312102.wav						ita	
85	2045192328	2045192328_ita_14.wav						ita	
86	common	common_voice_it_17979972.wav						ita	
87	409714222	409714222_ita_12.wav						ita	
88	247786014	247786014_ita_4.wav						ita	
89	697081431	697081431_ita_10.wav						ita	
90	492297965	492297965_ita_20.wav						ita	
91	2143985449	2143985449_ita_6.wav						ita	
92	common	common_voice_it_24256188.wav						ita	
93	common	common_voice_it_25570623.wav						ita	
94	134001349	134001349_ita_11.wav						ita	
95	common	common_voice_it_20056493.wav						ita	
96	2123568595	2123568595_ita_23.wav						ita	
97	common	common_voice_it_25339673.wav						ita	
98	179492157	179492157_ita_31.wav						ita	
99	1254765304	1254765304_ita_9.wav						ita	
100	1889914753	1889914753_ita_4.wav						ita	
101	1364524938	1364524938_ita_14.wav						ita	
102	common	common_voice_it_21714388.wav						ita	
103	2089995001	2089995001_ita_21.wav						ita	
104	1299468493	1299468493_ita_31.wav						ita	
105	1064283897	1064283897_ita_15.wav						ita	
106	2125472936	2125472936_ita_16.wav						ita	
107	63445529	63445529_ita_1.wav						ita	
108	2129470480	2129470480_ita_6.wav						ita	
109	common	common_voice_it_25533612.wav						ita	
110	common	common_voice_it_27405044.wav						ita	
111	1230421796	1230421796_ita_23.wav						ita	
112	694887817	694887817_ita_6.wav						ita	
113	551316026	551316026_ita_21.wav						ita	
114	common	common_voice_it_20295298.wav						ita	
115	1005594640	1005594640_ita_7.wav						ita	
116	common	common_voice_it_25614204.wav						ita	
117	873992744	873992744_ita_7.wav						ita	
118	common	common_voice_it_23763212.wav						ita	
119	395387919	395387919_ita_9.wav						ita	
120	623691937	623691937_ita_5.wav						ita	
121	common	common_voice_it_20379974.wav						ita	
122	29503691	29503691_ita_12.wav						ita	
123	common	common_voice_it_19975243.wav						ita	
124	765587623	765587623_ita_22.wav						ita	
125	892001330	892001330_ita_16.wav						ita	
126	2128855261	2128855261_ita_8.wav						ita	
127	1785329822	1785329822_ita_8.wav						ita	
128	1237313710	1237313710_ita_16.wav						ita	
129	common	common_voice_it_19233769.wav						ita	
130	911154958	911154958_ita_8.wav						ita	
131	445789300	445789300_ita_25.wav						ita	
132	common	common_voice_it_26995145.wav						ita	
133	132762273	132762273_ita_25.wav						ita	
134	507870188	507870188_ita_13.wav						ita	
135	common	common_voice_it_24041879.wav						ita	
136	232282882	232282882_ita_22.wav						ita	
137	common	common_voice_it_25543533.wav						ita	
138	2144627614	2144627614_ita_22.wav						ita	
139	1314783113	1314783113_ita_17.wav						ita	
140	2143985449	2143985449_ita_17.wav						ita	
141	604202480	604202480_ita_15.wav						ita	
142	407575728	407575728_ita_6.wav						ita	
143	2123570996	2123570996_ita_6.wav						ita	
144	common	common_voice_it_25619067.wav						ita	
145	common	common_voice_it_25693301.wav						ita	
146	1035156532	1035156532_ita_0.wav						ita	
147	common	common_voice_it_21837235.wav						ita	
148	199231711	199231711_ita_17.wav						ita	
149	common	common_voice_it_25080135.wav						ita	
150	5006572278	5006572278_ita_1.wav						ita	
151	common	common_voice_it_23987235.wav						ita	
152	247786014	247786014_ita_18.wav						ita	
153	365307573	365307573_ita_17.wav						ita	
154	134001349	134001349_ita_15.wav						ita	
